measles,german_measles
experience,meet
redundance,deadwood
tone_ending,plosion
humoring,splurge
diplomat,kennan
divergence,allowance
beach,plage
carnal_knowledge,unlawful_carnal_knowledge
genetic_mutation,saltation
fuel-air_explosive,fuel-air_bomb
scurf,dandruff
pernicious_anaemia,metaplastic_anaemia
farm_machine,thresher
salesclerk,shop_girl
graduate,graduated_cylinder
angiotensin_ii_inhibitor,valsartan
pleomorphism,dimorphism
preoccupancy,absentmindedness
pickup,garbage_pickup
canary_bird,serinus_canaria
haunt,hang_out
donut,raised_doughnut
nazism,falange
snobbishness,clannishness
flourish,wigwag
pouched_mammal,pouched_mole
piece_of_leather,vamp
hot-water_tank,water_back
subshrub,eryngo
plutonium_239,weapon-grade_plutonium
nativity,reincarnation
facelift,rhinoplasty
pardoner,absolver
dresser,chichi
flash_flood,floodhead
arenaceous_rock,sandstone
uniting,umbrella
challenger,tilter
gametophyte,microgametophyte
arteria_labialis,arteria_labialis_superior
pterosaur,pterodactyl
fmri,bold_fmri
advocate,moralise
college,training_college
lamprey_eel,sea_lamprey
application-oriented_language,job-control_language
traffic_jam,gridlock
bowling_equipment,pin
sagaciousness,indiscreetness
favorableness,propitiousness
calvinist,huguenot
petticoat,crinoline
field_of_view,operative_field
mental_object,metaknowledge
sturgeon,white_sturgeon
fast,ramadan
rearrangement,transposition
poet,sonneteer
particularity,specificity
homo_erectus,peking_man
diocese,eparchy
shopping,marketing
characin,piranha
oestrogen,mestranol
adulterer,wencher
wedding,remarriage
compressor,supercharger
ephemeropteran,shadfly
notation,ps
agglutinin,isoagglutinin
stereo,anaglyph
narcissus_pseudonarcissus,paper_white
catalogue,seed_catalog
wetting_agent,detergent
retailer,licensee
stenosis,ureterostenosis
sociologist,psephologist
storage_locker,lazaretto
dystrophy,osteodystrophy
pathfinder,trailblazer
buying,viatication
arm_bone,ulna
phalarope,steganopus_tricolor
sporulation,homospory
acacia,fever_tree
frank,vienna_sausage
clay_pipe,dudeen
croaker,queenfish
iliac_vein,common_iliac_vein
priority_processing,foregrounding
celebrater,merrymaker
evenfall,night
specimen,cytologic_specimen
turbine,wind_turbine
canopy,umbrella
civil_wrong,trespass
wino,souse
iol,multifocal_lens_implant
gentlewoman,madame
patent_medicine,nostrum
verbosity,pleonasm
anxiousness,panic
drumbeat,tattoo
queen_regnant,queen_of_england
triplet,triplicity
psychological_science,social_psychology
female_genitalia,vulva
disaffection,isolation
sugar_cane,noble_cane
union,combine
metric_system,si
wagerer,caller
butterhead_lettuce,boston_lettuce
colt,ridgeling
angle,troll
neural_impulse,action_potential
ocean,deep
loincloth,dhoti
deceptiveness,speciousness
shirtfront,plastron
scotch_whiskey,drambuie
police_investigation,surveillance
body_process,transpiration
synonym_finder,word_finder
imprisonment,custody
articulation,synovial_joint
ack-ack_gun,bofors_gun
angiospermous_yellowwood,symplocus_tinctoria
usurpation,inroad
express_mail,pony_express
strike,retaliate
breathing_device,snorkel
click-clack,clickety-clack
somatotropin,protropin
cephalochordate,lancelet
sandglass,hourglass
baked_goods,bread
squadron,escadrille
watermark,low-water_mark
cleansing,housecleaning
methodology,scientific_method
consent,undertake
chair,vice_chairman
vena_facialis,retromandibular_vein
indefinite_quantity,supply
sebaceous_cyst,meibomian_cyst
broadaxe,battle-ax
jailhouse,workhouse
religious_doctrine,real_presence
economic_theory,monetarism
confession,shrift
swordplay,fencing
fledgling,enlistee
teasle,wild_teasel
spiral_galaxy,andromeda_galaxy
employment,reservation
transitive_verb,doubly_transitive_verb_form
acquired_immunity,passive_immunity
rainstorm,thundershower
onanism,jacking_off
repeat,regurgitate
overtime,sudden_death
cramp,trismus
ptomain,cadaverine
penal_institution,penal_colony
sphere,drop
possibleness,chance
foot_lever,loud_pedal
comfort,quieten
polymeric_amide,nylon
electronic_signal,racon
prevision,prefiguration
aberration,spherical_aberration
jordanian_monetary_unit,jordanian_dinar
scrap_metal,scrap_iron
semiautomatic,luger
medical_diagnosis,medical_prognosis
flexion,dorsiflexion
badge,stripe
carriage,bassinet
colour_television_tube,tricolor_tube
open-heart_surgery,coronary_bypass_surgery
silicon_chip,microprocessor
shadowiness,shadow
epidermal_cell,melanocyte
foe,mortal_enemy
dry_battery,flashlight_battery
red_dwarf,flare_star
goodness,summum_bonum
rooming_house,flophouse
sewing_stitch,whipping
holder,tenant
computer_system,platform
allomorph,morphophoneme
kidnaper,shanghaier
birth_prevention,contraception
arbiter,third_party
masterwort,astrantia_major
wet_blanket,fuss-budget
climber,rock_climber
audience,viewing_audience
cretin,mongoloid
rhubarb,chinese_rhubarb
exocrine,vestibular_gland
plaster,mortar
informatics,cybernetics
international_intelligence_agency,general_security_services
epaulette,shoulder_mark
plot_element,mcguffin
barrack,casern
demonstrator,picket
contraceptive_device,spermatocide
cognitive_psychology,psycholinguistics
sake,behalf
high_temperature,white_heat
slicker,utterer
suckerfish,whale_sucker
island,traffic_island
mojarra,silver_jenny
earthwork,sconce
infantilism,ateleiosis
argot,rhyming_slang
economic_value,premium
yachting,bareboating
withholding,pay_as_you_earn
class,stereotype
chamois,wash_leather
hemisphere,right_brain
marsh_wren,cistothorus_platensis
magnitude_relation,rate
banning,test_ban
meteor,fireball
scombroid_fish,squaretail
mauritanian_monetary_unit,khoum
libber,suffragette
amide,propanamide
mother_cell,spore_mother_cell
enactment,part
realness,fact
village,pueblo
vat,washtub
desert_plant,agave
treaty,convention
reserve_account,allowance_account
commode,potty_chair
part,break_up
swing_door,batwing
chloride,potash_muriate
reappraisal,stock-taking
fact,index
shote,sucking_pig
flight_simulator,link_trainer
suede_cloth,ultrasuede
brace,tread
irrational_impulse,irresistible_impulse
caprimulgiform_bird,oilbird
dribble,leach
cranberry,foxberry
prerequisite,sine_qua_non
programming_error,syntax_error
prefix,alpha_privative
remainder,fag_end
feather-foil,hottonia_palustris
archaebacterium,thermoacidophile
peaceableness,mollification
nictation,palpebration
butylene,polybutene
part_of_speech,major_form_class
emetic,dry_mustard
screen,rood_screen
pipe,caterwaul
metric_weight_unit,mt
rub,grate
hydantoin,phenytoin
irishman,mickey
atomic_number_8,liquid_oxygen
adaption,specialization
boiling,decoction_mashing
recession,pharyngeal_recess
genealogy,ancestry
osier,velvet_osier
come,make
navigational_instrument,sonar
sea-coast,tideland
affability,sweetness_and_light
sex_offense,ravishment
millinery,turban
talker,witnesser
liquidambar,red_gum
ptsd,shell_shock
musical_performance,singing
disconnectedness,incoherency
air_pump,ion_pump
domestic_carp,mirror_carp
baseball_play,squeeze_play
gastrointestinal_disorder,salmonellosis
solar_calendar,revolutionary_calendar
filovirus,marburg_virus
polyose,amylum
value,censor
libyan_monetary_unit,libyan_dirham
figuration,symbolising
sarsaparilla,rough_bindweed
expectancy,life_expectancy
military_strength,firepower
north_dravidian,brahui
palm,manhandle
burning,auto-da-fe
resister,withstander
music_genre,popular_music_genre
advisor,tipster
sculpin,myxocephalus_aenaeus
personal_relationship,obligation
unreliableness,fallibility
carnivorous_bat,true_vampire_bat
leaving,takeoff
indulgence,harlequinade
stained_glass,tiffany_glass
atmospheric_static,radio_noise
shamus,store_detective
incentive,sales_incentive
arrangement,orchestration
flora,myrmecophyte
tuberculosis,lupus_vulgaris
sufficiency,ampleness
immunodeficiency,severe_combined_immunodeficiency
faultiness,sickness
suer,prince_charming
snapping_turtle,alligator_snapping_turtle
solidification,congelation
narrowing,constriction
heat_hyperpyrexia,thermic_fever
brush,contretemps
free_press,gutter_press
excreta,guano
aspect,light
elk,brocket
sheepman,shepherdess
self-command,presence_of_mind
achene,samara
concha,nasal_concha
lesbian,butch
follower,tail
relinquishing,release
bedspring,box_spring
adjustment,tare
senate,senate
substitution,weaning
resection,turp
action_at_law,test_case
softback,pocketbook
uropathy,nephropathy
nothings,sweet_nothings
calyculus,optic_cup
states_general,estates_general
pining,lovesickness
kitten-tails,besseya_alpina
spanish_american,criollo
railway_station,whistle_stop
cosmetic,pencil
sleaziness,raggedness
cent,new_penny
affirmation,profession
parametric_statistic,correlation_coefficient
sailfish,atlantic_sailfish
libertarian,economic_libertarian
price_level,consumer_price_index
talks,mediation
applied_scientist,surveyor
gay-feather,liatris_pycnostachya
pyrotechnic,torpedo
agglomerate,stockpile
hair_dye,rinse
stop_consonant,suction_stop
treasury,treasury_note
bluish_green,cyan
dishonour,opprobrium
spider_crab,macrocheira_kaempferi
commando,sas
gipsy,gitano
cloture,guillotine
vinylbenzene,polystyrene
generality,totality
swindle,shell_game
sapidity,vanilla
paper_money,federal_reserve_note
oxford,saddle_oxford
body_of_water,waterway
releasing_factor,growth_hormone-releasing_factor
rhetorical_device,image
layman,lay_reader
target,home_in
view,spectate
hard_candy,sourball
taxicab,minicab
eisteddfod,royal_national_eisteddfod
tartrate,bitartrate
loosestrife,lysimachia_quadrifolia
formalwear,tailcoat
gymnosperm_family,ginkgo_family
cockatoo,pink_cockatoo
gravimeter,thermogravimeter
time_plan,never-never
indigenous_language,substratum
culture,viticulture
curve,recurve
ageratum,ageratum_houstonianum
extraordinariness,uncommonness
scouring,mopping
go-between,second_hand
tree_frog,pternohyla_fodiens
crow_corn,yellow_colicroot
skiff,sampan
caryopsis,rye
time_signature,alla_breve
police_chief,chief_constable
bokmaal,riksmal
pimp,whoremaster
tanoan,kiowa
inebriant,kumis
worth,price
hired_man,stableboy
compound_lever,pair_of_scissors
somerset,flip-flop
periodical,review
knowledge_base,scientific_knowledge
wrestling,sumo
wrongness,error
humate,humic_shale
nutrition,vitamin
aloneness,reclusiveness
lasiocampid,webworm_moth
upside,tiptop
minor_tranquilliser,triavil
orange_rind,orange_zest
lion_monkey,pinche
worm_family,hirudinidae
mycosis,rhinosporidiosis
marker,highlighter
navigator,juan_ponce_de_leon
climbing_salamander,aneides_lugubris
intensiveness,fury
herpes,varicella_zoster_virus
prickly_pear_cactus,opuntia_tuna
coffee_tree,coffea_robusta
person_of_colour,wog
tungusic_language,manchu
trombiculid,chigger
male_monarch,king_of_the_germans
ballistic_missile,intercontinental_ballistic_missile
airgun,paintball_gun
old_age,second_childhood
parcel,wisp
acidosis,starvation_acidosis
part_music,homophony
sexual_activity,zooerasty
permission,toleration
peddler,transmigrante
cub,tiger_cub
casserole,cocotte
stone_fruit,drupelet
binocular_microscope,operating_microscope
ace,track_star
computer_scientist,computational_linguist
krigia,krigia_dandelion
undercarriage,landing_gear
mail_service,rfd
hieroglyphic,hieratic_script
ag,coin_silver
mastigophoran,trichomonad
triumvirate,troika
blow_fly,greenbottle
work-clothing,overall
unchangeableness,immutableness
signboard,shingle
arum,malanga
learned_profession,theology
pigmentation,melanoderma
cheese,velveeta
ownership,retention
culinary_art,gastronomy
trader,stock_trader
united_states_intelligence_agency,ss
good_example,prodigy
population,subpopulation
fibreboard,masonite
reform_movement,trade_union_movement
omentum,lesser_omentum
prosthetic_device,pegleg
fleet,wolf_pack
green_tea,hyson
bias,tendentiousness
lyre,trigon
pesticide_poisoning,parathion_poisoning
fibre_bundle,nerve
chelonian,turtle
negroid,picaninny
twelve_tribes_of_israel,lost_tribes
electronic_text,machine-readable_text
pouched_rat,thomomys_talpoides
gametogenesis,spermatogenesis
compiler,pascal_compiler
natural_resource,renewable_resource
omelet,egg_foo_yong
psychotic,schizophrenic
raggedness,spininess
ectopic_pregnancy,tubal_pregnancy
string_of_words,syntagm
honour,prix_goncourt
tarpon,tenpounder
physical_property,length
meningitis,leptomeningitis
disgorgement,hyperemesis
annual_parallax,stellar_parallax
mujahadein,mujahedeen_khalq
clothes_dryer,wringer
descendent,scion
looking_at,dekko
repudiation,disownment
tympanum,perforated_eardrum
psychodelic_drug,salvinorin
picnic,cookout
plumed_thistle,spear_thistle
elite_group,nobility
gimmick,fast_one
toll,angelus_bell
gopher_snake,eastern_indigo_snake
papers,study
bank_withdrawal,bank_run
clavicipitaceae,grainy_club
broach,sunburst
mullus_surmuletus,yellow_goatfish
transcendental_number,e
mother_wit,road_sense
atmospheric_condition,inclementness
untruthfulness,mendacity
rustic,yahoo
dining_table,triclinium
branchiopod_crustacean,tadpole_shrimp
annihilation,extinction
righteyed_flounder,hippoglossus_stenolepsis
shipping,ferrying
center_of_mass,centroid
edible-pod_pea,snap_pea
new_yorker,west-sider
foster_child,foster_son
printing_process,carbon_process
lygaeid_bug,blissus_leucopterus
stock_market,over-the-counter_market
outcast,untouchable
possum,phascolarctos_cinereus
equivalent,substitute
mobility,restlessness
waterline,plimsoll_mark
gable_wall,pediment
scots_english,scottish_lallans
histrionics,matinee
atm,stp
furor,brouhaha
ultraviolet,sunray
microscope,light_microscope
deli,charcuterie
corduroy,wide_wale
son,mother's_boy
bin,recycling_bin
thrower,tosser
marine_museum,fishbowl
fan_palm,thrinax_morrisii
airing,propagation
mercantilism,nonpayment
antihypertensive,spironolactone
woodlouse,sow_bug
plant_disease,yellow_spot
rail_technology,magnetic_levitation
armed_service,airforce
cardinal_compass_point,west
lengthiness,fermata
hockey_player,wing
foumart,ferret
witch-hunt,mccarthyism
law_degree,llm
cooking_pan,wok
ablation,vulvectomy
meter,foot
choice_of_words,verbalisation
containment,ring_containment
nuclease,exonuclease
hypersensitivity,hypersensitivity_reaction
ascii_character,control_character
pushing,boost
ancestry,bloodline
saunter,walkabout
inebriation,sottishness
penicillin_v,penicillin_v_potassium
malignant_hypertension,portal_hypertension
manakin,supermodel
godchild,godson
yellow_lady-slipper,cypripedium_calceolus_pubescens
caribou,barren_ground_caribou
male_aristocrat,sir
hawkbit,fall_dandelion
aborticide,abortion_pill
barberry,berberis_thunbergii
macedonian,philippian
stainability,basophilia
therapy,thrombolytic_therapy
celestial_body,star
pan,warming_pan
cambodian,khmer
aide,nurse's_aide
artificial_satellite,weather_satellite
paprika,spanish_paprika
directness,ingenuousness
vaticination,soothsaying
mechanic's_lien,garageman's_lien
semitic,canaanitic
caricature,takeoff
fretfulness,pet
acetylsalicylic_acid,enteric-coated_aspirin
flunitrazepan,roach
spirit_level,mason's_level
flare-up,rush
sunlight,sunburst
athletic_training,fartlek
spoken_language,monologue
wild_goat,capra_ibex
partial_correlation,first-order_correlation
organized_religion,cult
railway_yard,marshalling_yard
life_principle,spirit
cabaret,supper_club
equivocation,quibble
sterilizer,pressure_cooker
effect,backdate
organs,haslet
cowardice,dastardliness
impiety,godlessness
systole,extrasystole
positivity,self-assertiveness
cataract,posterior_subcapsular_cataract
variola_vaccina,vaccinia_gangrenosa
broadcasting_station,tv_station
trainee,plebe
television_show,special
delegation,devolvement
reductant,hydrazine
counter_tube,scintillation_counter
longhand,round_hand
sexual_climax,male_orgasm
ribbon,ribband
moslem,wahhabi
profaneness,sacrilegiousness
protoctist,alga
hindrance,prevention
tightfistedness,miserliness
selfish_person,opportunist
billfish,timucu
hungarian_monetary_unit,pengo
state_of_mind,outwardness
swedish_monetary_unit,krona
equal-area_map_projection,sinusoidal_projection
clematis,mountain_clematis
add-in,pc_board
toothed_whale,dolphin
aerophyte,strangler
senator,state_senator
copehan,wintun
name_and_address,return_address
church_music,religious_song
insignia,wings
boxfish,cowfish
vesica,urinary_bladder
siphonophore,apolemia
demeanor,personal_manner
communism,trotskyism
gibbosity,wart
malevolence,beastliness
chant,gregorian_chant
straits,dire_straits
pecuniary_resource,matching_funds
curl,dreadlock
horsewhip,buggy_whip
sorting,separation
capitulation,review
civil_disobedience,protest_march
computing,recalculation
asking,callback
scientific_theory,theory_of_games
professional,past_master
anemia,sickle-cell_disease
geography,economic_geography
salve,zinc_ointment
bristletail,thermobia_domestica
cva,haemorrhagic_stroke
conjuring_trick,sleight_of_hand
auxin,indolebutyric_acid
monk,trappist
disparager,muckraker
coral_reef,key
wakening,reveille
infant_feeding,schedule_feeding
burial_site,potter's_field
candelabra,menorah
scarcity,rareness
adjunct,parenthetical
liberality,largess
protestantism,puritanism
misanthropist,misogynist
oscillation,menstrual_cycle
aggrandizement,self-aggrandisement
stargazer,cosmologist
hide,earth
tea,oolong
blue-green_algae,trichodesmium
spanner,torque_wrench
sweet_clover,yellow_sweet_clover
bryony,wild_hop
recipient,warrantee
sense_modality,olfactory_modality
index,cross-index
transferred_possession,security
mailbox,pillar_box
shell_bean_plant,broad_bean
system_of_weights,troy_weight
brass_instrument,trombone
improvidence,waste
era,modern_era
regular_army,continental_army
protoanthropology,protoarcheology
word,family_bible
quassia,jamaica_quassia
exuberance,rabidity
healer,speech_therapist
crotalaria,indian_rattlebox
chicanery,jugglery
earthstar,astreus_hygrometricus
dementia,senile_psychosis
freezing,icing
seawater,red_tide
barrenness,unproductiveness
metal_bar,pig
hindquarters,haunch
folio,page
crystal_rectifier,led
gambol,word_play
scleroderma,morphea
cutworm,chorizagrotis_auxiliaris
carry-over,generalisation
arcade,loggia
abjuration,backdown
plastic_film,shrink-wrap
plication,pucker
wheat_berry,cracked_wheat
necking,snogging
endangerment,sword_of_damocles
tyrant,czar
indelible_ink,marking_ink
vehicular_traffic,truck_traffic
filiation,unilateral_descent
squama,calypter
certificate,unlisted_security
converging_lens,sunglass
raised_doughnut,fastnacht
septicemia,shipping_pneumonia
center,capital
business_concern,underperformer
mecopteran,hanging_fly
impracticability,infeasibility
craniology,phrenology
polyvinyl_resin,polyvinyl_chloride
drug_abuse,alcohol_abuse
copper-base_alloy,eureka
saturation,saturation_point
daisy_bush,olearia_haastii
polypore,fistulina_hepatica
reception,demodulation
on-off_switch,dip_switch
pika,collared_pika
girl,mother's_daughter
lance,leister
flick,musical_comedy
black_african,caffer
stroking,caress
cupflower,tall_cupflower
campaigning,stumping
phase_of_the_moon,full
heart_murmur,systolic_murmur
deliberation,intentionality
homosexualism,paederasty
candida,candida_albicans
bollard,riding_bitt
kudu,tragelaphus_imberbis
logical_quantifier,existential_quantifier
delineation,portraiture
tennis_player,professional_tennis_player
siamese,blue_point_siamese
pesterer,nudnick
estonian_monetary_unit,sent
porcelain,spode
antitoxin,tetanus_antitoxin
rockfish,ocean_perch
dinghy,wherry
deficit,trade_deficit
intaglio_printing,photogravure
abscission,circumcision
theory_of_relativity,special_relativity_theory
menstruation,oligomenorrhea
giddiness,lightsomeness
graybeard,patriarch
constrictor,boa
counselling,lead
particle_accelerator,linear_accelerator
ministry,home_office
racecourse,velodrome
scarabaeid_beetle,rose_beetle
regional_anesthesia,spinal
field_corn,soft_corn
pastoral,eclogue
civil_day,day_of_the_week
sheet_music,musical_score
fibrous_dysplasia_of_bone,monostotic_fibrous_dysplasia
payoff,payback
outlander,metic
escort,chaperon
posture,ramp
phonemics,orthoepy
caller,convener
ill_humour,moodiness
trademark,logotype
neutral,stakeholder
jitney,trackless_trolley
stork,mycteria_americana
headsail,spinnaker
presenter,tipper
plow,moldboard_plow
talk,chalk_talk
singing,yodeling
moo-cow,heifer
saint's_day,name_day
spinning_machine,throstle
seed_vessel,bur
pugilism,sparring
sporozoan,myxosporidian
optimism,sanguinity
legal_tender,food_stamp
sleep_apnea,sids
condensation,inspissation
lousiness,crabs
hi-fi,dynamic_headroom
electrophoresis,carrier_electrophoresis
iodide,sodium_iodide
purchaser,orderer
family_poaceae,calamagrostis
drummer,tympanist
vote_counter,canvasser
room_access,outside_door
staff,tipstaff
release,declassify
cruiser,guided_missile_cruiser
nom_de_guerre,nom_de_plume
instilment,infusion
impoverishment,impecuniousness
nitride,magnesium_nitride
recording,video
marigold,french_marigold
babylonian,sumerian
cleaner,window_cleaner
false_vampire,big-eared_bat
sawfish,pristis_pectinatus
analyst,market_analyst
decapod,spirula
copier,xerox_machine
colour,nonsolid_colour
infirmity,wasting
dray_horse,coach_horse
light_brown,beige
rhenish,liebfraumilch
body_armor,cuirass
projectile,research_rocket
upper_class,people_in_power
brush_wolf,coydog
beau_ideal,gold_standard
marketing,channel
newt,eft
psychotic_belief,zoanthropy
ctenophore_genus,cestum
placard,flash_card
das,rock_hyrax
douglas_fir,big-cone_douglas_fir
mechanical_drawing,vertical_section
national,nationalist
hirudinean,horseleech
policy,floater
testimonial_immunity,transactional_immunity
procurator,pilate
extremum,upper_limit
brokerage_account,margin_account
yawn,pandiculation
beginning,startup
teratogen,thalidomide
bracket,shelf_bracket
slipover,sweatshirt
crematorium,gas_oven
standard_cell,cadmium_cell
bacteriophage,typhoid_bacteriophage
thimbleweed,virginia_thimbleweed
glume,flowering_glume
tomograph,pet_scanner
practice_of_medicine,complementary_medicine
ledger_entry,debit_entry
arrogance,superiority
wilding,wildflower
devotion,stations
merrymaker,roisterer
trotting_horse,pole_horse
healing,convalescence
hound,ferret
anti-personnel_bomb,big_blue
cubic_measure,last
chart,navigational_chart
mesoderm,mesenchyme
ledger,daybook
false_morel,discina
fallacy,paralogism
cold,cool
kindred,totem
angriness,rage
safety_fuse,plug_fuse
visitant,visiting_fireman
transportation,train_fare
flag,red_flag
wild_indigo,horsefly_weed
biological_time,refractory_period
parroket,ring-necked_parakeet
thermionic_tube,x-ray_tube
saloon,brougham
new_year's_eve,hogmanay
badminton_equipment,shuttlecock
loudspeaker,woofer
glucose,blood_glucose
first_appearance,naturalisation
gear,popularise
boredom,fatigue
garnish,topping
wedge,compress
giving_medication,drugging
handing_over,relay
united_kingdom_of_great_britain_and_northern_ireland,blighty
lymphatic_tissue,tonsilla_pharyngealis
barbarian,vandal
defeat,conquer
distress,besiege
collection,tax_collection
wire_service,syndicate
refined_sugar,brown_sugar
plug,cork
socialisation,breeding
conspicuousness,strikingness
orange_liqueur,grand_marnier
militant,black_panther
keynote,c
bantu,tonga
vibrion,vibrio_fetus
sailing_vessel,dandy
self-absorption,omphaloskepsis
bullfighter,torero
nontextual_matter,drawing
measure,endure
ringworm,tinea_unguium
alibi,extenuation
vascular_system,circulatory_system
operator,wire-puller
quester,hunter
self-will,intransigence
heathen,idolater
ligation,tubal_ligation
lead,take_charge
deacon,deaconess
linguist,transcriber
commanding_officer,wing_commander
jawless_vertebrate,hagfish
prof,visiting_professor
furcation,bifurcation
gameness,intermittent_claudication
cd,cd-rom
spoiler,sea_rover
quad,hair_space
poker,stud_poker
period_of_play,set
blood_disorder,uricaciduria
intuition,heart
acquaintance,classmate
chauffeur,chauffeuse
advocacy,urging
slime_mold,cellular_slime_mold
coastal_diving_bird,jaeger
unsimilarity,nonuniformity
trig,triangulation
underclothes,skivvies
rein,leading_rein
canaanitic,ugaritic
azo_dye,methyl_orange
fuckup,trip-up
topsy-turvydom,balagan
spruce,yellow_spruce
calculator,subtracter
retirement_account,keogh_plan
cigar,stogy
ice_rink,ice-hockey_rink
cardboard,strawboard
adenovirus,parainfluenza_virus
fettuccini,fettuccine_alfredo
parapet,machicolation
echinocactus,echinocactus_grusonii
sea_cow,steller's_sea_cow
ground_cover,soleirolia_soleirolii
victimisation,colonialism
supremacy,superiority
intimidation,frightening
angiotensin,angiotensin_ii
periodic_movement,harmonic_motion
horse-cart,dray
kechua,inka
stairway,ramp
business_executive,president
demo,illustration
puniness,joke
vulpes_vulpes,silver_fox
voice_part,canto
detector,electronic_scanner
minimum,skeleton
kadai,tai
fire_fighter,forest_fire_fighter
gallery,organ_loft
barrister,sergeant
tv-antenna,rabbit_ears
polishing,shoeshine
capitation,poll_tax
jirga,loya_jirga
roach,giant_cockroach
opinion_poll,straw_poll
aneurism,ventricular_aneurysm
gable_roof,gambrel_roof
limb,bough
closedown,layoff
chain_mail,voider
eld,voting_age
borough,rotten_borough
conveyance,delivery
run-in,bust-up
discontinuance,dismount
mutualism,trophobiosis
unadaptability,inflexibility
misshapenness,varus
two-handed_saw,pitsaw
dramatic_work,book
rice_grass,smilo_grass
dysphemism,old_man
emphasis,sentence_stress
flux_density_unit,tesla
negligence,remissness
grama,bouteloua_eriopoda
dependency,crown_colony
fighter_aircraft,stealth_fighter
wholesaler,packer
eager_beaver,gopher
enduringness,everlastingness
lease,sublease
rolling_hitch,magnus_hitch
stillness,immobility
blanket,security_blanket
cardiovascular_disease,circulatory_failure
asiatic_flying_squirrel,petaurista_petaurista
spirillum,spirillum_minus
social_action,fence_mending
scorpion_weed,fiddleneck
trellis,espalier
commodities_exchange,spot_market
sonography,b-scan_ultrasonography
